model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high,year
model_1,TABLE 1 - consumption ~ HDD + CDD,const,37023.16549999999,54.57038236208356,678.4479766761598,0.0,36916.209515947725,37130.12148405225,2023
model_1,TABLE 1 - consumption ~ HDD + CDD,HDD,229.29312196290903,58.5501148614396,3.9161856899091876,8.996096795136469e-05,114.53700554380403,344.04923838201404,2023
model_1,TABLE 1 - consumption ~ HDD + CDD,CDD,3085.705435277478,62.94983541219121,49.01848297255251,0.0,2962.3260250368594,3209.0848455180967,2023
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,const,39106.556148799355,55.03279628768466,710.604562856834,0.0,38998.69385010696,39214.41844749175,2023
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,HDD,199.83396865727354,43.284986137240445,4.616704000405014,3.898827490292267e-06,114.99695475696676,284.6709825575803,2023
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,CDD,2989.6749281407274,49.987412874000555,59.808554919146786,0.0,2891.7013992273523,3087.6484570541024,2023
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,night,-7143.053653026385,77.76155901138108,-91.85841621283515,0.0,-7295.463508070378,-6990.643797982392,2023
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,const,40107.76101294644,53.672706937981424,747.2654781375342,0.0,40002.56444039522,40212.95758549766,2023
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,HDD,165.19352781568705,39.31844380803432,4.201425891172516,2.6523907617537364e-05,88.1307940237779,242.2562616075962,2023
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,CDD,2950.0389307821724,46.09134421222584,64.00418519361966,0.0,2859.701556127171,3040.376305437174,2023
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,night,-7145.225187735921,77.34565148013156,-92.38043834398856,0.0,-7296.819878997766,-6993.630496474077,2023
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,weekend,-3478.1771185498765,89.8343130680563,-38.717690376447734,0.0,-3654.2491367391626,-3302.1051003605903,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,const,43579.39087537399,139.52471736618514,312.3417248070755,0.0,43305.927454383134,43852.85429636484,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,HDD,963.1735970706634,85.79836812616105,11.226013012909265,3.0388377565512076e-29,795.0118856110785,1131.3353085302483,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,CDD,1441.484333960797,79.29650181481084,18.17841015644349,7.652018054247174e-74,1286.0660463037525,1596.9026216178413,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,night,-7235.334868928769,69.23493856908132,-104.5040989197887,0.0,-7371.032854996011,-7099.636882861526,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,weekend,-3529.044800192251,81.6597761731531,-43.216439789268954,0.0,-3689.095020477233,-3368.994579907269,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_1,-4566.171937517892,249.8996710541753,-18.272020600331242,1.3823612050278624e-74,-5055.966292532482,-4076.3775825033017,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_2,-5612.992312677034,269.2797844903789,-20.844462287801555,1.711203253519221e-96,-6140.770992042883,-5085.213633311184,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_3,-5371.604440900122,194.12802318380034,-27.670422604645232,1.5851749904056983e-168,-5752.088374730328,-4991.120507069917,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_4,-6867.881472753492,208.68546775415828,-32.9102047529452,1.5704831204468094e-237,-7276.897473648537,-6458.865471858447,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_5,-4420.4390646742795,152.12070787501187,-29.058759497137494,1.192674607624086e-185,-4718.590173412042,-4122.287955936517,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_6,-4645.191498407335,184.25588728792667,-25.210545870637752,3.0693950173084505e-140,-5006.326401431143,-4284.056595383527,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_7,1041.6705649602284,231.5812922271225,4.498077348746348,6.857075183429409e-06,587.7795727018226,1495.561557218634,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_8,1338.1128219679917,270.35760110704155,4.949418165011008,7.443566680560116e-07,808.2216608515441,1868.0039830844394,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_10,-4623.7462688162195,144.88692025974575,-31.912792821650203,1.7745113329941546e-223,-4907.719414356248,-4339.773123276191,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_11,-4448.459721424116,171.3018119991955,-25.968550300244384,1.122587672921952e-148,-4784.20510342899,-4112.714339419242,2023
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_12,-3275.276552571988,218.80941935953646,-14.968626863317162,1.1772690395523484e-50,-3704.1351339948005,-2846.417971149175,2023
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,const,40110.68740176606,52.457218094071855,764.636190387285,0.0,40007.87314357251,40213.501659959606,2023
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,HDD,361.67439147081177,44.72967309584829,8.085782131602066,6.176651615299854e-16,274.0058431626989,449.34293977892463,2023
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,CDD,2990.9577787446165,47.07713984413559,63.53312432843562,0.0,2898.688280154955,3083.227277334278,2023
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,night,-7143.549926439913,76.54972633383908,-93.31907857235646,0.0,-7293.584633080635,-6993.515219799191,2023
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,weekend,-3490.048332308208,88.87321044312,-39.269970274584416,0.0,-3664.2366239671724,-3315.8600406492437,2023
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,PMI,446.84513089818256,99.98353841541237,4.469187007981524,7.8517461438584e-06,250.88099655709738,642.8092652392677,2023
model_5,TABLE 5 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,IR,1033.8544874679847,99.19265175711517,10.422692297807487,1.9534375897671272e-25,839.4404624930153,1228.268512442954,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,const,40111.66487337877,52.14734028678713,769.1986715483953,0.0,40009.457964527115,40213.87178223043,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,HDD,511.3760179304477,47.419832254195626,10.78401153317454,4.096233067397283e-27,418.43485455929346,604.317181301602,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,CDD,3093.1203852791655,48.1064943213676,64.29735587499016,0.0,2998.8333889868045,3187.4073815715265,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,night,-7138.165722168644,76.38802981610513,-93.44612944400984,0.0,-7287.883509458182,-6988.447934879106,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,weekend,-3498.905194705365,88.61123804782422,-39.486020868109044,0.0,-3672.580029904606,-3325.230359506124,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,PMI,639.4380197404148,102.91151211487728,6.213474144920034,5.182576316513441e-10,437.73516240069785,841.1408770801318,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,IR,836.9848088703875,101.29340437785916,8.26297441586766,1.4208670183613276e-16,638.4533844183317,1035.5162333224432,2023
model_6,TABLE 6 - consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR + CUR,CUR,536.842651945531,56.1702017262101,9.557427878971454,1.2071957984753354e-21,426.7510795578096,646.9342243332524,2023
