model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high,year
model_1,TABLE 1 - consumption ~ HDD + CDD,const,36964.542956620986,54.26307160798816,681.2099252999045,0.0,36858.18929057881,37070.89662266316,2022
model_1,TABLE 1 - consumption ~ HDD + CDD,HDD,-18.746040925013858,57.11445148093386,-0.328218873488993,0.7427461786039482,-130.68830882440457,93.19622697437686,2022
model_1,TABLE 1 - consumption ~ HDD + CDD,CDD,2252.384370091268,52.581103538088456,42.83638452851596,0.0,2149.327300889243,2355.441439293293,2022
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,const,38946.34761050716,55.556898251936026,701.0173144277358,0.0,38837.458090840606,39055.237130173715,2022
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,HDD,310.79782032536696,43.81740777501668,7.093021611894033,1.312149557989816e-12,224.91727919042893,396.678361460305,2022
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,CDD,1675.7050943687045,51.95449350764881,32.253323653747195,3.16004545850426e-228,1573.8761582586928,1777.5340304787162,2022
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,night,-6794.7588133240015,89.43645950967787,-75.97302990944922,0.0,-6970.051052867745,-6619.466573780258,2022
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,const,39990.293727954006,54.33189928692953,736.0371025640615,0.0,39883.805162139965,40096.78229376805,2022
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,HDD,337.7913524124642,41.65433502432339,8.109392508972148,5.087346168772535e-16,256.15035596482505,419.4323488601034,2022
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,CDD,1723.344495607313,43.174506016235604,39.915789539300256,0.0,1638.7240187651835,1807.9649724494427,2022
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,night,-6781.4931762304,88.61222394673204,-76.52999636152904,0.0,-6955.169943755993,-6607.816408704808,2022
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,weekend,-3642.40543317792,92.46779273859381,-39.39107147799007,0.0,-3823.638976675478,-3461.171889680362,2022
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,const,40030.32028537609,137.25972823447944,291.63922149833115,0.0,39761.296161508755,40299.34440924342,2022
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,HDD,-468.047588091846,75.30010020612913,-6.215763150521662,5.107579714167565e-10,-615.6330725281163,-320.4621036555758,2022
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,CDD,920.8702224635281,47.03834573239226,19.577011226170406,2.4285852870822372e-85,828.676758935696,1013.0636859913602,2022
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,night,-6873.684108993926,80.13391808623338,-85.77746194310686,0.0,-7030.743702383026,-6716.624515604826,2022
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,weekend,-3527.0671278743466,83.01538515256253,-42.48690916018081,0.0,-3689.77429293609,-3364.359962812603,2022
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_1,2260.4468855159207,246.03417462229268,9.187532134452942,4.019569806924695e-20,1778.2287642901886,2742.665006741653,2022
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_2,1676.1401148619916,213.9297478216015,7.8350025273705475,4.688332783462567e-15,1256.8455139099165,2095.4347158140667,2022
